,ï»¿Name,Majority Voting,=> USA,=> India
0,1,Inappropriate,Inappropriate,Appropriate
2,3,Appropriate,Appropriate,Inappropriate
3,4,Inappropriate,Appropriate,Appropriate
6,7,Inappropriate,Appropriate,Appropriate
8,9,Appropriate,Inappropriate,Inappropriate
11,12,Inappropriate,Appropriate,Appropriate
13,14,Inappropriate,Appropriate,Appropriate
17,18,Appropriate,Appropriate,Inappropriate
18,19,Inappropriate,Appropriate,Appropriate
19,20,Appropriate,Inappropriate,Appropriate
21,22,Appropriate,Appropriate,Inappropriate
22,23,Appropriate,Inappropriate,Inappropriate
28,29,Inappropriate,Appropriate,Appropriate
32,33,Appropriate,Inappropriate,Inappropriate
35,36,Inappropriate,Appropriate,Appropriate
37,38,Appropriate,Inappropriate,Inappropriate
39,40,Inappropriate,Appropriate,Appropriate
41,42,Inappropriate,Appropriate,Inappropriate
44,45,Inappropriate,Inappropriate,Appropriate
45,46,Inappropriate,Appropriate,Appropriate
1,2,Inappropriate,Appropriate,Appropriate
26,27,Inappropriate,Appropriate,Appropriate
33,34,Appropriate,Inappropriate,Inappropriate
