Name,Majority Voting,=> USA,=> India
01,Inappropriate,Inappropriate,Appropriate
02,Inappropriate,Appropriate,Appropriate
03,Appropriate,Appropriate,Inappropriate
04,Inappropriate,Appropriate,Appropriate
05,Appropriate,Inappropriate,Inappropriate
06,Inappropriate,Appropriate,Appropriate
07,Inappropriate,Appropriate,Appropriate
08,Inappropriate,Appropriate,Appropriate
09,Appropriate,Inappropriate,Inappropriate
10,Inappropriate,Appropriate,Appropriate
11,Appropriate,Inappropriate,Inappropriate
12,Inappropriate,Appropriate,Appropriate
13,Inappropriate,Appropriate,Appropriate
14,Inappropriate,Appropriate,Appropriate
15,Appropriate,Inappropriate,Inappropriate
16,Inappropriate,Appropriate,Appropriate
17,Inappropriate,Appropriate,Appropriate
18,Appropriate,Appropriate,Inappropriate
19,Inappropriate,Appropriate,Appropriate
20,Appropriate,Inappropriate,Appropriate
21,Appropriate,Inappropriate,Inappropriate
22,Appropriate,Appropriate,Inappropriate
23,Appropriate,Inappropriate,Inappropriate
24,Appropriate,Inappropriate,Inappropriate
25,Appropriate,Inappropriate,Inappropriate
26,Appropriate,Inappropriate,Inappropriate
27,Inappropriate,Appropriate,Appropriate
28,Appropriate,Inappropriate,Inappropriate
29,Inappropriate,Appropriate,Appropriate
30,Inappropriate,Inappropriate,Appropriate
31,Inappropriate,Appropriate,Appropriate
32,Appropriate,Inappropriate,Inappropriate
33,Appropriate,Inappropriate,Inappropriate
34,Appropriate,Inappropriate,Inappropriate
35,Appropriate,Inappropriate,Inappropriate
36,Inappropriate,Appropriate,Appropriate
37,Appropriate,Inappropriate,Inappropriate
38,Appropriate,Inappropriate,Inappropriate
39,Inappropriate,Appropriate,Appropriate
40,Inappropriate,Appropriate,Appropriate
41,Inappropriate,Appropriate,Inappropriate
42,Inappropriate,Appropriate,Inappropriate
43,Appropriate,Inappropriate,Inappropriate
44,Inappropriate,Appropriate,Inappropriate
45,Inappropriate,Inappropriate,Appropriate
46,Inappropriate,Appropriate,Appropriate
