Name,Miguel,Guilherme,Kanya,Beyza,Manisha,Comments,Comments 1,Comments 2,Comments 3
01,Mixed Feelings,Inappropriate,Inappropriate,Mixed Feelings,Inappropriate,,,"To understand the comment, the reader have to understand the meaning of the saying",
02,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,Maybe change the comment to make it more borderline?,,
03,Mixed Feelings,Appropriate,Inappropriate,Inappropriate,Appropriate,,,,
04,Mixed Feelings,Inappropriate,Inappropriate,Mixed Feelings,Inappropriate,,,,
05,Appropriate,Appropriate,Appropriate,Appropriate,Appropriate,,,,
06,Appropriate,Inappropriate,Appropriate,Mixed Feelings,Inappropriate,,,,
07,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
08,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
09,Appropriate,Appropriate,Appropriate,Appropriate,Mixed Feelings,,,I don't really get the context but from the sentiment of the sentence I think its about different treatment to some race,
10,Appropriate,Inappropriate,Appropriate,Inappropriate,Inappropriate,,,Its a dark topic but I think its still in the level dark stereotype?,
11,Appropriate,Appropriate,Appropriate,Appropriate,Appropriate,,,,
12,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
13,Inappropriate,Inappropriate,Appropriate,Appropriate,Inappropriate,,,,
14,Inappropriate,Inappropriate,Appropriate,Appropriate,Inappropriate,,,,
15,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,Cut 2nd part of the comment to make it more borderline,,
16,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
17,Inappropriate,Inappropriate,Appropriate,Inappropriate,Inappropriate,,,,
18,Mixed Feelings,Inappropriate,Appropriate,Inappropriate,Inappropriate,,,,
19,Mixed Feelings,Inappropriate,Appropriate,Appropriate,Appropriate,,,,
20,Appropriate,Appropriate,Appropriate,Appropriate,Appropriate,,,,
21,Appropriate,Appropriate,Appropriate,Appropriate,Appropriate,,,,
22,Appropriate,Appropriate,Appropriate,Appropriate,Appropriate,,,,
23,Appropriate,Appropriate,Appropriate,Appropriate,Appropriate,,,,
24,Appropriate,Appropriate,Appropriate,Inappropriate,Appropriate,,,,
25,Inappropriate,Appropriate,Appropriate,Appropriate,Appropriate,,,,
26,Inappropriate,Appropriate,Appropriate,Appropriate,Inappropriate,,,,
27,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
28,Appropriate,Appropriate,Inappropriate,Appropriate,Appropriate,,,,
29,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
30,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
31,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
32,Appropriate,Appropriate,Inappropriate,Appropriate,Inappropriate,,Remove last phrase to make this more borderline,,
33,Appropriate,Mixed Feelings,Inappropriate,Appropriate,Inappropriate,,,,
34,Appropriate,Appropriate,Appropriate,Appropriate,Inappropriate,,,"I don't really understand the context but seems like it towards unity? By saying ""Lets be Americans instead""",
35,Appropriate,Appropriate,Inappropriate,Inappropriate,Inappropriate,,,,
36,Appropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
37,Appropriate,Appropriate,Inappropriate,Inappropriate,Inappropriate,,,,
38,Inappropriate,Mixed Feelings,Inappropriate,Inappropriate,Inappropriate,,I don't understand this comment,,
39,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
40,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
41,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
42,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
43,Appropriate,Appropriate,Appropriate,Appropriate,Appropriate,,,,
44,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
45,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
46,Inappropriate,Inappropriate,Inappropriate,Inappropriate,Inappropriate,,,,
